Time,WindSpeed(m/s),WindDirection(°)
08:43:01,1.2,289.4
08:43:02,1.2,289.0
08:43:03,1.1,292.1
08:43:04,1.1,340.3
08:43:05,1.2,289.8
08:43:06,1.3,303.2
08:43:08,1.3,305.0
08:43:09,1.3,327.4
08:43:10,1.4,335.3
08:43:11,1.4,316.8
08:43:12,1.4,315.1
08:43:13,1.4,322.4
08:43:14,1.5,314.3
08:43:15,1.5,327.8
08:43:16,1.4,300.4
08:43:18,1.3,306.6
08:43:19,1.3,350.8
08:43:20,1.3,335.0
08:43:21,1.4,331.0
08:43:22,1.5,328.2
08:43:23,1.5,323.5
08:43:24,1.6,321.6
08:43:25,1.6,324.5
08:43:26,1.5,307.2
08:43:28,1.3,298.4
08:43:29,1.3,298.4
08:43:30,1.2,298.4
08:43:31,1.1,298.4
08:43:32,1.0,298.5
08:43:33,1.0,298.4
08:43:34,1.0,297.1
08:43:35,1.0,288.7
08:43:36,0.9,288.7
08:43:37,0.9,288.7
08:43:39,0.9,288.7
08:43:40,0.9,288.7
08:43:41,0.9,288.7
08:43:42,0.8,288.7
08:43:43,0.8,288.7
08:43:44,0.9,288.8
08:43:45,0.9,289.0
08:43:46,0.9,289.0
08:43:47,0.9,289.0
08:43:49,0.9,289.0
08:43:50,0.9,289.0
08:43:51,0.8,289.0
08:43:52,0.8,289.0
08:43:53,0.8,289.0
08:43:54,0.7,289.0
08:43:55,0.7,289.0
08:43:56,0.7,289.0
08:43:57,0.6,289.0
08:43:59,0.6,289.0
08:44:00,0.6,289.0
08:44:01,0.6,289.0
08:44:02,0.6,289.0
08:44:03,0.6,289.0
08:44:04,0.6,289.0
08:44:05,0.6,289.0
08:44:06,0.6,289.0
08:44:07,0.6,289.0
08:44:08,0.6,289.0
08:44:10,0.6,289.0
08:44:11,0.6,289.0
08:44:12,0.6,289.0
08:44:13,0.6,289.0
08:44:14,0.7,289.0
08:44:15,0.7,289.0
08:44:16,0.9,289.0
08:44:17,0.9,289.0
08:44:18,0.9,289.0
08:44:20,0.9,289.0
08:44:21,0.9,289.0
08:44:22,0.9,289.0
08:44:23,0.9,289.0
08:44:24,0.9,289.0
08:44:25,0.8,289.0
08:44:26,0.7,289.0
08:44:27,0.7,289.0
08:44:28,0.7,289.0
08:44:29,0.7,289.0
08:44:31,0.6,289.0
08:44:32,0.6,289.0
08:44:33,0.6,289.0
08:44:34,0.6,289.0
08:44:35,0.6,289.0
08:44:36,0.6,289.0
08:44:37,0.7,289.0
08:44:38,0.7,289.0
08:44:39,0.7,289.0
08:44:41,0.8,289.0
08:44:42,0.8,289.0
08:44:43,0.8,289.0
08:44:44,0.8,289.0
08:44:45,0.7,281.4
08:44:46,0.8,264.9
08:44:47,0.9,261.4
08:44:48,0.9,231.2
08:44:49,0.8,199.6
08:44:50,0.8,188.9
08:44:52,0.7,199.8
08:44:53,0.7,204.1
08:44:54,0.6,204.1
08:44:55,0.6,204.4
08:44:56,0.6,216.3
08:44:57,0.6,271.0
08:44:58,0.6,274.5
08:44:59,0.7,274.5
08:45:00,0.8,274.5
08:45:02,0.8,274.5
08:45:03,0.9,274.5
08:45:04,0.9,274.5
08:45:05,1.0,274.5
08:45:06,1.0,274.5
08:45:07,1.0,274.5
08:45:08,0.9,274.5
08:45:09,0.9,274.5
08:45:10,0.9,274.5
08:45:11,0.8,274.5
08:45:13,0.8,274.5
08:45:14,0.9,274.5
08:45:15,0.9,274.5
08:45:16,0.9,281.0
08:45:17,1.0,301.4
08:45:18,1.1,295.1
08:45:19,1.1,295.1
08:45:20,1.1,292.8
08:45:21,1.1,286.8
08:45:23,1.1,286.8
08:45:24,1.1,286.8
08:45:25,1.1,286.8
08:45:26,1.2,286.7
08:45:27,1.2,285.1
08:45:28,1.5,287.3
08:45:29,1.6,302.7
08:45:30,1.8,290.4
08:45:31,1.8,294.1
08:45:33,1.7,305.3
08:45:34,1.8,305.6
08:45:35,1.7,307.5
08:45:36,1.7,304.0
08:45:37,1.7,312.7
08:45:38,1.7,308.6
08:45:39,1.6,346.2
08:45:40,1.6,309.4
08:45:41,1.6,328.0
08:45:42,1.6,297.5
08:45:44,1.6,319.5
08:45:45,1.7,333.2
08:45:46,1.8,280.6
08:45:47,1.7,280.8
08:45:48,1.5,271.3
08:45:49,1.5,279.3
08:45:50,1.3,279.2
08:45:51,1.2,279.2
08:45:52,1.2,274.1
08:45:54,1.1,287.4
08:45:55,1.2,286.3
08:45:56,1.4,278.4
08:45:57,1.8,301.1
08:45:58,1.8,277.4
08:45:59,1.7,270.3
08:46:00,1.5,245.3
08:46:01,1.5,290.1
08:46:02,1.4,319.5
08:46:03,1.4,329.8
08:46:05,1.5,3.9
08:46:06,1.3,57.8
08:46:07,1.2,31.6
08:46:08,1.2,303.4
08:46:09,1.3,299.9
08:46:10,1.4,306.8
08:46:11,1.6,340.2
08:46:12,1.5,331.2
08:46:13,1.5,315.1
08:46:15,1.3,323.7
08:46:16,1.3,313.2
08:46:17,1.2,291.2
08:46:18,1.1,291.2
08:46:19,1.1,291.2
08:46:20,1.0,291.6
08:46:21,1.0,301.9
08:46:22,1.1,302.7
08:46:23,1.0,303.1
08:46:24,1.0,303.1
08:46:26,1.0,303.1
08:46:27,1.0,304.3
08:46:28,1.0,305.0
08:46:29,1.0,305.2
08:46:30,1.0,304.9
08:46:31,0.9,304.9
08:46:32,0.9,305.0
08:46:33,0.9,305.0
08:46:34,0.9,313.1
08:46:36,0.9,323.1
08:46:37,0.9,326.6
